date,samples,fare_amount_quantile_05,missing_values_pct,fare_drift,prediction_mean,fare_amount_mean,fare_amount_std
2024-03-15,1904,13.5,0.0,0.004668027447977734,14.116258264614103,16.775068277310925,11.433212864409603
2024-03-16,1585,13.5,0.0,0.053103299934333416,14.608486912933145,17.58379810725552,12.637350217789436
2024-03-17,1326,13.5,0.0,0.05806092338854332,14.93107779426119,17.666576168929108,13.075259063957319
2024-03-18,1757,12.8,0.0,0.015256571421635983,14.100568342276652,16.442384746727377,11.968001244542183
2024-03-19,1868,13.5,0.0,0.001450752685978758,14.28140853910701,16.721349036402568,12.104565975368525
2024-03-20,1938,12.8,0.0,0.01253744287401029,14.030090303386126,16.48778637770898,11.514808987040517
2024-03-21,2011,13.5,0.0,0.0172538877044098,13.982827810623466,16.409035305818,11.35020823666511
2024-03-22,1833,13.5,0.0,0.0301755799221015,14.319194161417133,17.200971085651936,13.532690997191196
2024-03-23,1329,12.8,0.0,0.0032815861150048363,14.220423261708651,16.642332580887885,11.951287703822251
2024-03-24,1295,14.03,0.0,0.08581424303978293,15.086657918432854,18.129976833976833,14.158577473081094
2024-03-25,1701,13.5,0.0,0.011725283844642042,14.300043646008527,16.892904174015285,12.616511718086592
2024-03-26,1842,13.5,0.0,0.013009923460779524,14.154544064032182,16.914353963083606,11.853134347300976
2024-03-27,1915,12.8,0.0,0.019676800020810147,13.839728668615995,16.36857963446475,11.698515045722253
2024-03-28,2013,13.5,0.0,0.012398917445197936,13.706511439822691,16.490099354197714,11.64904830313053
2024-03-29,1720,12.8,0.0,0.018899085797370502,14.353750287194082,17.01268604651163,13.363928723421457
2024-03-30,1433,14.2,0.0,0.05335186084946101,14.614458421686544,17.58794836008374,13.558757895881163
2024-03-31,1404,13.5,0.0,0.06887436904564648,14.911228240392656,17.847129629629627,14.167396294242812
